name:full;birth:location;birth:year;education:location:0;education:year:0;education:location:1;education:year:1;education:location:2;education:year:2;position:job:0;position:job_location:0;position:job_year:0;position:job:1;position:job_location:1;position:job_year:1;position:job:2;position:job_location:2;position:job_year:2;position:job:3;position:job_location:3;position:job_year:3;position:job:4;position:job_location:4;position:job_year:4;position:job:5;position:job_location:5;position:job_year:5;position:job:6;position:job_location:6;position:job_year:6;position:job:7;position:job_location:7;position:job_year:7;position:job:8;position:job_location:8;position:job_year:8;position:role;position:role_location;position:role_year
Liang, Chi-Hsun;Hsing-Hui, Kwangtung;1906;Morgan Park Academy;1905-8;Northwestern University;1908-11;college;1905-8;Resident Supervisor;Bank of China, Peking;1914;Bank of China;Peking;1914;Studied Liberal Arts;Northwestern University;1908-11;China;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liang, Foo-Tso;Canton;1891;Diocesan College;1902-5;Hongkong;1902-5;Canton Christian College;1905-9;Teacher;Tsing Hua College;1916;Student Attaché;Chinese Legation, Germany;1909-10;Assistant Business Manager;Chinese Social and Political Science Review;1916 to date;Teacher, Tsing Hua College;_;1916;Secretary, American Returned Students' Information Bureau;_;1916;Agriculture;Amherst Agricultural College;1911 12;Worker;Syracuse Social Settlement;1914;_;_;_;_;_;_;_;_;_
Liang, L. K;Fushan, Kwangtung;1878;Peiyang University;1897-1900;Anglo-Chinese College;1901-2;Tientsin;1897-1900;Councillor, Ministry of Agriculture and Forestry;_;1912;Vice-Minister, Ministry of Agriculture and Forestry;_;1912-13;Director, Experiment Station, Department of Agriculture;Government University, Peking;1911-12;Agriculture;_;1904-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liang, Milton H;Hsiangshan, Kwangtung;1886;Queen's College;1897-98;_;_;_;_;Manager;North China Carpet Co., Tientsin;1915-16;President, Kwangtung Provincial College;_;1912-14;Teacher;Tientsin;1914-15;North China Carpet Co;Tientsin;1915-16;Commerce;Healdsburg College;1904-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liang Tung-Yen;Shun-The, Kwangtung;1851;Victoria School;1869-71;Hartford Grammar School;1873-74;Hongkong;1869-71;Minister of Foreign Affairs;_;1908-10;Minister of Communications;_;1914-16;Minister of Foreign Affairs;_;1908-10;Teacher;Telegraph School, Tientsin;1881-84;Vice;_;1807-8;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Liang, Yu-Ho;Tang-Chia, Kwang- tung;1860;Steven's Institute of Technology;_;Engineering;_;China;_;Managing Director of Shanhaikwan Railways;_;1881;Councillor, Ministry of Foreign Affairs;_;_;Superintendent;Tientsin Customs;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Lin, D. Y;Pao-An, Kwangtung;1888;St. John's University;_;Shanghai;_;_;_;Agriculture;Massachusetts Agricultural College;1909-12;Student Forester;Great Southern Lumber Company;1914;Lecturer;Shanghai;1914;Forestry;Yale University;1912-14;Studied;St. John's University;1902-9;Lumber Company;_;1914;_;_;_;_;_;_;_;_;_;_;_;_
Nie, Sih-Zung;Shanghai;1881;St. Xavier's School;1896;Anglo-Chinese College;1896-97;Shanghai;1896;Teacher of Mathematics;St. John's University;1899-1901;Consulting Engineer;Chinese Railway Corporation;1912-13;Chinese Railway Corporation;_;1912-13;Teacher;St. John's University;1899-1901;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Nyi, Zau-Tsung;Hangchow, Chekiang;1884;Trinity College;1897;Ningpo;1897;St. John's University;1898-1902;Director and Teacher;_;_;Head of English Department;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ma, K. S;Shanghai;1888;St. John's University;1901-9;Tsing Hua College;1911-13;Shanghai;1901-9;Instructor;St. John's Uni- versity;1908-9;versity;_;1908-9;Professor;_;1916;Teacher and Proctor;Government Teachers' College, Wuchang;1917;Harvard Diplomatic Club;_;1913;Prof;Government Teachers' College, Wuchang;1916;Secretary;_;_;excellence;St. John's University;1907;Studied Law and Government;Harvard University;1913-15;_;_;_
Ma, Minghai;Pu-Yang, Chihli;1889;Pu Yang School;_;Chihli Provincial College;_;_;_;Instructor in Geometry;Stuyvessant High School, New York City;October to December, 1915;Treasurer, Wisconsin Chinese Students' Club;_;1913;Corresponding Secretary, International Club;_;1914-15;Secretary, Confucian Society;_;1914-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sun, Chi-Lien;Hanyang, Hupeh;1890;Boone University;1900-5;Wuchang;1900-5;St. John's University;1905-9;Translator, President's Office;_;_;college at Cook Academy, 1909-10. Studied Law;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sun, Chi-Ting;Peng Lai, Shantung;1887;Shantung Provincial College;_;Tsing Hua College;_;_;_;"Electrical Engineering at Purdue University, 1911-15; at Massachusetts Institute of Technology";_;1915-16;General Railway Signal Co;_;1915-16;China;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sun Hyien-Way;Hangchow;1886;China Mission Society School;_;St. John's University;_;_;_;Teacher of English;Chekiang Pro- vincial College;1906;Instructor in English;Chekiang Pro- vincial College;1915-16;Dean;Hangchow;1915;Middle School;Hangchow;1913;Instructor in English;Chekiang Pro- vincial College;1915-16;Dean;Hangchow;1915;_;_;_;_;_;_;_;_;_;_;_;_
Sun, Hyne;Hangchow;1892;Chekiang Provincial College;_;Government University;_;_;_;Professor of Commerce;Chung Hua University;1915;Business Administration;Harvard University;1913-15;Secretary, Yale Chinese Students' Club;_;1912-13;Auditor;Bank of China, Peking;1915;Editor, Chinese National Defence Magazine;_;1915;Adviser, Tung Hui Industrial Development Company;_;1915;_;_;_;_;_;_;_;_;_;_;_;_
Sun, K. C. Carlos;Wu-Hsing, Chekiang;1884;St. John's University;_;Shanghai;_;_;_;Assistant Manager;Brige Works, Peking-Mukden Railway;1909;Chief Locomotive Inspector;Lung-Hai Railway;1913-15;Assistant Locomotive Superintendent;Shanghai- Hangchow-Ninpo Railway;1916;Assistant Locomo- tive Superintendent;Tangshan Works, Peking-Mukden Railway;1911-12;Mechanical Engineering;Cornell University;1905-9;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sun, Pao-Kien;Wusih, Kiangu;1886;Nanyang Middle School;_;Nanyang Polytechnic Institute;_;_;_;Ministry of Communications;_;1914-15;Member;Ministry of Communications;1914-15;Engineer;_;_;Student Engineer;Western Electric Co;1911-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sun, Taoyuh C.;Shou-Hsien, Anhui;1912;Cornell University;_;Civil Engineering;_;_;_;Assistant Engineer;Kirin-Changchun Railway;1909-10;District Engineer;_;1910-11;Managing Director;Nanking-Hunan Railway;1911-13;Railway;_;_;Managing Director;Nanking-Hunan Railway;1911-13;China;_;1909;_;_;_;_;_;_;_;_;_;_;_;_
Sun, Yuenfong;Shou-Hsien, Anhui;1883;Wesleyan Academy;_;Massachusetts Institute of Technology;_;_;_;Inspector;Bank of China, Peking;September, 1912;Assistant Manager;Bank of China, Hankow;1913-16;Bank of China;Peking;1912- 13;Currency Commission, Ministry of Finance;_;1913-14;Manager;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Sung, Vong-Tsung;Kia-Ding, Kiangsu;1893;Virginia School, Huchow;1900-2;_;_;_;_;Teacher;George Peabody College;1914;Teachers;George Peabody College;1914;Editor, Athenian Magazine;_;1912-14;Teacher;George Peabody College;1914;School;Virginia School, Huchow;1900-2;course;George Peabody College;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, En-Liang;Chingchow, Shantung;1882;Shantung Provincial College;_;Tsinan;_;_;_;Instructor in English and Mathematics;Shan- tung Provincial College;1911-12;Assistant;_;_;Mining Engineering;Colorado School of Mines;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, Pao-Tung;Shanghai;1887;Thomas Hanbury School;1902-3;Technical High School;1904-8;Shanghai;1902-3;Assistant Hydrographer;_;_;Board;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tang, Shao-Yi;Canton;1860;Columbia University;_;_;_;_;_;Vice-President, Ministry of Foreign Affairs;_;1905;President of Ministry of Communications;_;1911;President, Ministry of Communications;_;1911;Junior;_;_;Consul;Tientsin;1886;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, Su-Hwa;Tong, Su-Hwa;1895;Queen's College;_;Nanyang College;_;_;_;Assistant Engineer;Hanyang Iron and Steel Works;1913;Hanyang Iron and Steel Works;_;1913;Mechanical Engineering;Cornell University;1910-13;1913;_;_;China;_;1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, Yau-Hang;Canton;1885;Queen's College;_;Hongkong;_;_;_;Director, Agricultural Experiment Station;Canton;1908-12;Principal, College of Agriculture and Forestry;Peking;1915;Director;Agricultural Experiment Station, Canton;September, 1908;Principal, Agricultural College;Peking;1912-14;Agriculture;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, Yoeh-Liang;Shanghai;1889;Thomas Hanbury School;_;St. John's University;_;_;_;Teacher;Tsing Hua College, Peking;1915;Editor, Chinese Students' Monthly;_;1912-13;College;St. John's University;1904-9;President;_;1914-15;Chairman, Chinese Students' Alliance;Eastern Section;1913-14;Government;Princeton University;1913-15;China;_;1915;1915;_;_;_;_;_;_;_;_
Tong, Yuen-Cham;Hsiangshan, Kwangtung;1860;Tong-Kar village schools;_;Chinese Educa- tional Mission School;_;Shanghai;_;Telegraph Operator;_;1881;Clerk-in-Chief;_;1881;Director-General, Chinese Telegraph Administration;_;1881-1913;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tang, Yung-Hsi;Hsiangshan, Kwangtung;1887;Springfield Technical High School;_;Studied Forestry at the University of North Carolina;_;_;_;Ministry of Agriculture and Commerce;_;1912-14;Ministry of Agriculture and Commerce;_;1912-14;Junior Technical Expert;Ministry of Agriculture and Commerce;1912-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tong, Yung-Tso;Canton;1887;Grammer School and High School;_;private schools;_;_;_;Sanitary Engineer;Bureau of Municipal Administration, Peking;1915;Bureau of Municipal Administration;Peking;1915;Member, American Civil Engineers' Society;_;1914;President;Chinese Students' Club;_;Secretary;_;_;Civil Engineering;_;1910-15;Chinese Students' Club;_;_;_;_;_;_;_;_;_;_;_
Wei, Dzong-Kwen;Hankow, Hupeh;1887;Boone University;_;Wuchang;_;_;_;Assistant General Secretary;Shanghai-Nanking and Shanghai-Hangchow-Ningpo Railways;1916;Assistant Manager;Chung Sheng Kung Mining Co., Hupeh;1914-15;Agriculture;Cornell University;1909-13;Railways;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Wei, E. F.;Huchow, Chekiang;1887;Nanyang College;_;Cornell University;1908-12;Shanghai;_;Teacher;Government University, Peking;_;Mechanical Engineering;Cornell University;1908-12;Government University;Peking;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ying, Y. T.;Ho-Fei, Anhui;1891;Anhui Provincial College;_;Kiangnan College;_;_;_;Teacher;Chung Hua University, Peking;1915;Treasurer;_;1914-15;Mechanical Engineering;Massachusetts Institute of Technology;1910-15;University;Nanking;_;China;_;1915;Chinese Students' Alliance;_;1910-15;_;_;_;_;_;_;_;_;_;_;_;_
Yuen, Chung;Canton;1886;Canton Middle School;1904-6;_;_;_;_;Teacher and Experimenter;Kwangtung Agricul- tural Experimental Station;1912-16;President, Kwangtung College;_;1915-16;Agriculture;Iowa State College;1908-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Yuan, Tsong-Kyien;Hangchow, Chekiang;1889;Chekiang Provincial College;_;Shuntien College;_;_;_;Electrical Engineering;Massachusetts Institute of Technology;1911-15;college;Chekiang Provincial College, Hangchow;1909-10;Studied;Chekiang Provincial College;_;University;Chekiang Provincial College;_;China;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chan, Chow-On;Kue-Kong, Kwangtung;1889;Canton Christian College;_;Canton;_;_;_;Teacher;Ying-Hua College, Hongkong;1915;College;Canton Christian College;1907-10;1915;_;_;China;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chan, Chung-Chi;Hsiangshan, Kwangtung;1871;private schools;1878-86;public schools, 1887-90. Studied Medicine at Omaha University;1890-97;Studied;1878-86;House Physician;Canton Hospital, Canton;1898;"Medical Officer: Maritime Customs, Shanghai, 1910; Chinese Post Office";Shanghai;1910;Medicine;Omaha University;1890-97;Instructor;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Chin-Tao;Nan-Hai, Kwangtung;1870;Queen's College;_;Hongkong;_;Peiyang University;_;professor;Peiyang University;1901;Minister of Foreign Affairs;_;_;Chief of the Department of Budgets in the Ministry of Finance;_;_;Director;_;_;Inspector of Ta-Ching Government Bank;_;1906;University;Queen's College, Hongkong;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Huan-chang;Inkslab Island, Kwangtung;1881;_;_;_;_;_;_;Director;National Confucian Associa- tion;January, 1911;Legal Advisor to the President;_;1913;Principal;Chin-Shih;1903;School;Canton;1902;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Ju-Hsiang;Kwangtung;1886;Anglo-Chinese College;1901-9;Anglo-Chinese College;1901-9;Shanghai;1901-9;Assistant Engineer;Szechuen- Hankow Railway;1914-15;Railway Engineering;State University of Iowa;1910-11;Member, Chinese Institute of Civil Engineers;_;1915;Civil Engineering;Brown and Yale Universities;1906-9;Railway;State University of Iowa;1910-11;Hydraulic Engineering;Columbia University;1909;_;_;_;_;_;_;_;_;_;_;_;_
Chen, King-Yoan;Shanghai;1886;Yu-Tsai School;_;Nanyang College;_;_;_;Teacher, Government Teachers' College;Changsha;1916;Editor, Chinese Students' Annual;_;1911-12;Technology;Massachusetts Institute of Technology;1913-14;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Kwang-Pu;Nanking, Kiangsu;1904;University of Iowa, Ohio Wesleyan University and the University of Pennsylvania;_;Economics;_;the;_;Secretary;Nanking Exposi- tion;1909;Adviser to the Bank of China;_;1914;Manager;Kiangsu Provincial Bauk;1912-14;Manager, Shanghai Commercial and Savings Bauk;_;1915;Exposition;St. Louis;1904;tion;_;1910;Organizer;Kiangsu Provincial Bauk;_;_;_;_;_;_;_;_;_;_
Chen, P. H.;Kwangtung;1884;University of Michigan;_;the;_;_;_;Assistant Editor;_;1911-12;Instructor;Canton Christian College;1914-15;Canton Christian College;_;1914-15;Chinese Students' Monthly;_;1911-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Shao-Kwan;Canton;1885;Government University;1904-8;Peking;1904-8;Cornell University;1909-10;Ministry of Finance;_;1915;the;_;_;Professor;Government University, Peking;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Shih Ti;Hangchow, Chekiang;1881;Chiu Shih School;1899-1900;St. John's University;1900-5;Hangchow;1899-1900;Instructor;Cheking Provincial College, Hangchow;1905-7;Auditor, Board of Audit;Peking;1911;English;Cheking Provincial College, Hangchow;_;College;Hangchow;1899-1900;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Shiu-Yuen;Shanghai;1892;Tangshan Railway and Engineering College;_;University of Wisconsin;1912-15;Studied;_;Princeton University;_;1915-16;China;_;1916;Political Science;University of Wisconsin;1912-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Tao-Yuan K.;Shanghai;1888;Peiyang University;1904-6;Nanyang Middle School;1901-4;Tientsin;1904-6;Technical Expert, Ministry of Navy;_;1916;Assistant English Secretary and Translator;Salt Administration, Peking;1914-15;Engineering Superintendent;Government Dock, Foochow;1915-16;Administration;_;1914-15;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Tsaihsin;Peking;1879;Methodist University;_;Peking;_;_;_;Teacher;Methodist University, Peking;September, 1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chen, Wei-Ping;Peking;1876;Peking Methodist University;_;Ohio Wesleyan University;_;_;_;Editor, Christian Advocate;Shanghai;1916;"doctor's dissertation:- ""Development of the Custom House";under the Tsing Dynasty;under the Tsing Dynasty;Ph;_;1915;China;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chun, T. C.;Shanghai;1894;St. John's University;_;Nanyang High School;_;_;_;Professor of English and Economics;Tangshan Railway and Engineering College;1916;Assistant Manager;Chinese Students' Monthly;1914-15;Civil Engineering;University of Michigan;_;College;Shanghai;1909-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chun, Ying-Mi;Hongkong;1890;McTyiere School;1899-1900 and 1902-5;. Private support. Studied Liberal Arts at Forest Park University;1906-9;Shanghai;1899-1900 and 1902-5;Director, Y.M.C.A. School of Physical Education;Shanghai;1916;officer, Chinese Students' Christian Association;_;1910-13;Physical Education;Wellesley College;1909-13;Secretary;Shanghai;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chun, Young-Chan;Honolulu;1890;Anglo-Chinese Academy;1901-3;Mills Institute;1903-6;St. Louis College;1906-10;Assistant Draftsman;Ellsworth Collieries Co., 1916;1916;Mining Engineering;Columbia University;1911-13;member of the Engineering Corps;Ellsworth Collieries Co;1916;Chinese Students' Club;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ding, Moses U;Fukien;1909;Oberlin College;1909-11;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Tsen, Archie Tsung-Liang;Hankow;1884;Boone School;1894-1903;Boone College;1903-6;Wuchang;1894-1903;Teacher;Boone School;1902-6;Member of staff;Boone College;1906-11;Editor and once Editor-in-Chief;Boone Chronicle;1901-11;Manager;Boone Educational World;1906;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Ts'en, Mong-Kang;Chungking, Szechuen;1887;Kwang-Yee Middle School;_;Chungking;_;_;_;Assistant Chief Engineer;New York Edison Co;1915;Electric Laboratory;Union College;1915-16;Teacher;Kwang-Yee Middle School, Chungking;1916;Vice-President;Cornell Chinese Students' Club;1914;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zhen, Juedan Tun-Shou;Soochow;1881;Nanyang College;1898-1904;Shanghai;1898-1904;Studied;1898-1904;Professor of Civil Engineering;Nanyang College, Shanghai;1912;Teacher of Mathematics;College of Finance, Peking;1911;General Inspector;_;1913;Ministry;Ministry of Com- munications;1914-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zhen;Soochow;1891;Nanyang College;1909;Nanyang College;1909;Tsing Hua College;1911;Physics;Columbia University;1915-16;Mechanical Engineering;Massachusetts Institute of Technology;1911-14;Government support;_;September, 1911;Technology;Massachusetts Institute of Technology;1911-14;Studied;Nanyang College;1902-10;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Zung, Singung;Sungkiang, Kiangsu;1886;St. John's University;_;Shanghai;_;_;_;Instructor in English;International Institute;1903-4;Professor of Chemistry and Geology;Nanyang College, Shanghai;1910;"Assistant Editor, Commercial Press, Shanghai; Professor of Chemistry and Physics";Shanghai;1910;Fellow in Chemistry;Vanderbilt;1908-9;Teacher of English;Government Teachers' College, Wuchang;1903-4;Professor;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Cheng-Che;Foochow;1881;Fukien Provincial College;1902-5;_;_;_;_;Secretary, Bank of China;Peking;1912-13;Auditor, Board of Audit;Peking;1913-15;Peking;_;_;Commerce;_;_;Acting;Board of Audit, Peking;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Fu-Liang;Shanghai;1889;Nanyang Middle School;_;St. John's University;_;_;_;Teacher;Yale College, Changsha;September, 1915;Yale College;Changsha;1915;Forestry;Yale Univer- sity;1910-15;China;_;September, 1915;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Fu-Liang;New York City;1893;Hunter College;1911-14;_;_;_;_;China;_;1915;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, King-Fan;Tapu, Kwangtung;1890;International Institute;1903-4;Anglo- Chinese College;1905-10;Shanghai;1903-4;Mining Engineering;Colorado School of Mines;1911-13;Assist- ant Engineer, Chiu-Tung Antimony Mining Company;_;1916;Engineer;_;_;Light Railway Company;Chao-Chow;1915-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, L. C.;Hsiangshan, Kwangtung;1909;University of Wisconsin;1909-10;_;_;_;_;Ministry of Finance;_;_;Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, L. N.;Nanking;1887;St. John's University;_;Shanghai;_;_;_;Director of the Hupeh Bureau of Foreign Affairs;_;1912;Acting;Director of the Hupeh Bureau of Foreign Affairs;Director of the Hupeh Bureau of Foreign Affairs;Co-Director;International Institute, Shanghai;1911-12;Editor-in-Chief;Chinese Students' Monthly;1910-1;High Procurator of the Hupeh Procuratorate;_;1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, L. N.;Soochow;1906;Randolph Macon Woman's College;1911;McTyiere School;_;Shanghai;_;Vice-Chairman;_;_;Literary Editor of Chinese Students' Monthly;_;1911;Alliance;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Paul Hua;Pinghu, Chekiang;1885;Nanyang Middle School;_;Shanghai;_;_;_;Teacher;Hsuchow Middle School, Szechuan;1904-8;Chemist;_;November, 1913;Chemist;_;November, 1913;School;Nanyang Middle School;1899-1904;Assistant;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Peng-Chun;Tientsin;1892;Chihli Provincial College;_;Nankai School;_;_;_;Dean, Nankai College;Tientsin;1916;Secretary, Chinese Students' Christian Association;North America;1913-15;1916;Nankai College, Tientsin;July;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Shan-Yang;Huchow, Chekiang;1888;Fu Tan College;_;Woosung;_;_;_;Professor;Government University, Peking;November, 1912;Physics;Government University, Peking;_;University;Woosung;1904-7;China;_;November, 1912;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Ta-Tsung;Kiashing, Chekiang;1883;Nanyang College;_;Aurora College;_;_;_;Professor;Government University, Peking;1913;Dean;National Institute, Woosung;1910-11;Government University;Peking;1913;Institute;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Ting-Chin;Wusih, Kiangsu;1887;Nanyang College;_;Shanghai;_;_;_;Instructor;Nanyang College;1915;College;Shanghai;1904-9;Business Administration;Harvard University;1913-15;Engineers;_;_;Engineer;_;_;1915;_;July;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Tsun;Tsukiang, Hupeh;1886;Pu- tung College;_;Wuchang;_;_;_;Teacher;Government Teachers' College, Nanking;1909;Government Teachers' College;Nanking;1916;Research Assistant in Physical Chemistry;M.I.T;1915-16;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Yü-Chüan;Canton;1880;Anglo-Chinese College;1890-91;Queen's College;1892-93;Imperial Tokyo University;1898-99;Ministry of Foreign Affairs;_;1916;Secretary to the President and Councillor of the Ministry of Foreign Affairs;_;1911-13;Inspector;Schools in Shansi, Chihli, Shantung, Honan;1906-7;Commissioner of Foreign Affairs;Kiangsu and Anhui;1913-15;Secretary;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, T. Z.;Huchow, Chekiang;1882;Nanyang College;1906;Shanghai;1906;1906;1906;Ministry of Agriculture and Forestry;_;1912-13;Chief of Division of Statistics;Ministry of Agriculture and Forestry;1912-13;Commissioner to Panama Pacific International Exposition;_;1915;Senior Secretary;_;1912-13;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Chang, Tsung-Yuen;Shanghai;1876;Nanyang College;1898-1900;Pomona College;1900-3;Shanghai;1898-1900;Ministry of Foreign Affairs;_;1907-8;Director, Board of Audit;_;1914-16;Vice-Minister, Ministry of Finance;_;1912;Member;Ministry of Foreign Affairs;July, 1907;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Djang, Yuan-Shan;Soochow;1892;Chang-Yuan-Wu School;1903-6;Tsing Hua College;1911;Soochow;1903-6;Bureau of Foreign Affairs;_;1916;Correspondent;Shanghai;1911;English Secretary;_;1916;Instructor in Sanitary Chemistry;Government University, Peking;1915-16;Advisor to the Chief of Police;Tientsin;1916;Chemist;Chihli Industrial Chemistry Laboratory and Peiyang Plague Prevention Bureau, Tientsin;August, 1915;_;_;_;_;_;_;_;_;_;_;_;_
Chuang, Tsin;Chuang, Tsin;1888;Chiu-Yeh School;1902-4;Nanyang Middle School;1904-8;Shanghai;1902-4;Consulting Architect, Ministry of Foreign Affairs;_;1915-17;Supervising Architect's Office, University of Illinois, summer, 1912. Designer;_;1912;Draftsman;Supervising Architect's Office, University of Illinois;1912;Vice-President;Illinois Chinese Students' Club;1912-14;Manager: Chinese Students' Annual;_;1912-13;Resident Architect;Tsing Hua College;1914;_;_;_;_;_;_;_;_;_;_;_;_
Fu, Chung Chio;Yangchow, Kiangsu;1890;Normal College;1908-10;University of Michigan;1910-15;Peking;1908-10;Student Engineer;Paige-Detroit Motor Car Co;1915;Mechanical Engineering;University of Michigan;1910-15;Paige-Detroit Motor Car Co;_;1915;Works;_;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Gorh, F. M.;Hsiangshan, Kwangtung;1877;Peirce College;_;Banking;_;_;_;Photo Engraving;Bissell College;1912-14;China;_;1914;College;_;1908-12;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kuo, Ping-Wen;Shanghai;1879;Lowrie Institute;_;Shanghai;_;_;_;Customs Officer;Shanghai, Kashing and Hangchow;1897-1906;Dean, Government Teachers' College;Nanking;1915;Vice-President;East China Educational Association;1913-15;President;Lowrie Institute and Chekiang Provincial College;1916;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kuo, Thomas H;Tientsin;1877;Peiyang University;1898-1907;Tientsin;1898-1907;Harvard University;1907-10;English Secretary;Tientsin-Pukow Railway, Tientsin;1911-14;Tientsin-Pukow Railway;Tientsin;1914;Political Economy;Harvard University;1907-10;China;_;November, 1910;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
Kwauk, Jean-Shaw;Chinkiang, Kiangsu;1888;Anglo-Chinese College;1898-1900;St. John's University;1903;Shanghai;1898-1900;Teacher;Shih-Min School, Canton;1903-4;Teacher of a high school;Szechuen;1910-11;Translator;Canton;1911;Superintendent, Nanyang Tobacco Co. Factory;Shanghai;1916;Secretary;_;_;Secretary;_;_;Colonel;_;1912;_;_;_;_;_;_;_;_;_
